Tanggal Prediksi,NVDA,AAPL,GOOGL,005930.KS,9988.HK,000660.KQ,AMD,0700.HK,TSLA,ORCL,AMZN,INTC,MSFT,SONY,1810.HK
25/04/2025,107.75,206.78,158.97,55563.12,108.85,181719.6,95.31,461.49,268.28,141.7,184.82,20.16,379.34,24.98,47.71
28/04/2025,108.25,207.2,159.49,55585.6,108.48,182050.69,95.69,461.58,269.77,142.47,185.48,20.18,379.9,24.83,47.25
29/04/2025,108.52,207.64,159.88,55588.7,108,182330.11,96.01,460.8,271.17,143.04,185.95,20.19,380.32,24.69,46.77
30/04/2025,108.89,207.85,160.13,55581.24,107.87,182451.87,96.31,461.43,272.31,143.6,186.34,20.18,380.77,24.55,46.3
01/05/2025,109.17,208.08,160.29,55587.39,107.74,182627.71,96.54,461.32,273.28,144.12,186.69,20.18,381.12,24.4,45.84
02/05/2025,109.41,208.22,160.43,55583.11,107.65,182771.89,96.77,461.57,274.19,144.51,186.95,20.18,381.38,24.26,45.38
05/05/2025,109.6,208.39,160.59,55585.62,107.57,182905.47,96.95,461.58,274.98,144.92,187.21,20.2,381.62,24.11,44.93
06/05/2025,109.75,208.66,160.79,55590.43,107.5,183021.61,96.7,461.28,275.63,145.21,187.41,20.21,381.83,23.96,44.47
07/05/2025,109.89,208.77,160.92,55594.3,107.45,183119.76,96.82,461.25,275.99,145.49,187.99,20.21,382.12,23.81,44.01
08/05/2025,110.01,208.88,161.04,55599.13,107.4,183216.88,96.9,461.24,276.39,145.72,188.19,20.21,382.27,23.65,43.55
09/05/2025,110.11,208.88,161.13,55601.65,107.35,183290.24,97,461.22,276.76,145.92,188.33,20.22,382.41,23.49,43.09
12/05/2025,110.21,208.95,161.21,55603.73,107.32,183330.22,97.07,461.2,277.19,146.09,188.48,20.22,382.52,23.34,42.63
13/05/2025,110.28,209.16,161.28,55605.69,107.28,183390.65,97.13,461.19,277.49,146.22,188.58,20.22,382.63,23.18,42.17
14/05/2025,110.34,209.16,161.35,55604.12,107.26,183436.57,97.19,461.18,277.76,146.37,188.68,20.23,382.71,23.02,41.71
15/05/2025,110.4,209.21,161.4,55605.43,107.23,183490.24,97.23,461.17,277.92,146.48,188.78,20.23,382.79,22.87,41.25
16/05/2025,110.46,209.16,161.44,55606.41,107.21,183487.98,97.26,461.17,278.01,146.58,188.85,20.23,382.85,22.71,40.79
19/05/2025,110.5,209.2,161.48,55607.36,107.2,183515.7,97.29,461.16,278.01,146.65,188.92,20.23,382.91,22.56,40.33
20/05/2025,110.53,209.35,161.52,55608.02,107.18,183541.46,97.32,461.16,278.1,146.62,188.96,20.23,382.97,22.4,39.87
21/05/2025,110.56,209.35,161.55,55608.64,107.17,183562.9,97.35,461.15,278.21,146.7,189.01,20.23,383.01,22.25,39.41
22/05/2025,110.59,209.37,161.57,55609.04,107.16,183603.73,97.37,461.15,278.24,146.75,189.05,20.25,383.04,22.09,38.95
23/05/2025,110.62,209.31,161.59,55609.49,107.16,183605.77,97.38,461.14,278.32,146.79,189.09,20.25,383.07,21.94,38.5
26/05/2025,110.68,209.33,161.61,55609.57,107.15,183626.57,97.4,461.14,278.4,146.82,189.12,20.25,383.1,21.78,38.04
27/05/2025,110.66,209.47,161.63,55616.37,107.13,183619.84,97.41,461.14,278.48,146.83,189.16,20.25,383.14,21.63,37.58
28/05/2025,110.65,209.45,161.64,55616.99,107.13,183629.05,97.44,461.14,278.51,146.87,189.18,20.25,383.15,21.48,37.12
29/05/2025,110.67,209.47,161.65,55617.19,107.13,183652,97.42,461.15,278.49,146.9,189.17,20.25,383.16,21.32,36.66
30/05/2025,110.7,209.39,161.66,55617.65,107.12,183647.48,97.43,461.15,278.51,146.92,189.18,20.26,383.18,21.17,36.2
02/06/2025,110.72,209.39,161.67,55613.03,107.12,183631.67,97.44,461.14,278.55,146.94,189.19,20.26,383.19,21.01,35.75
03/06/2025,110.7,209.51,161.61,55601.86,107.11,183626.47,97.46,461.44,278.66,146.99,189.19,20.26,383.2,20.86,35.29
04/06/2025,110.71,209.49,161.62,55602.18,107.11,183629.18,97.47,461.46,278.69,147.02,189.21,20.26,383.2,20.7,34.83
05/06/2025,110.72,209.49,161.66,55602.02,107.11,183659.66,97.47,461.16,278.65,147.04,189.23,20.26,383.21,20.55,34.37
06/06/2025,110.72,209.41,161.67,55601.81,107.11,183648.13,97.47,461.16,278.68,147.05,189.23,20.26,383.22,20.39,33.91
09/06/2025,110.73,209.41,161.67,55602.43,107.1,183650.39,97.48,461.15,278.71,147.04,189.24,20.26,383.23,20.24,33.46
10/06/2025,110.72,209.53,161.69,55604.73,107.1,183656.16,97.49,461.15,278.76,147.06,189.22,20.26,383.23,20.08,33
11/06/2025,110.73,209.51,161.7,55604.84,107.1,183660.54,97.5,461.14,278.79,147.09,189.23,20.26,383.22,19.93,32.54
12/06/2025,110.73,209.51,161.7,55604.68,107.1,183676.84,97.48,461.14,278.75,147.1,189.24,20.26,383.22,19.77,32.08
13/06/2025,110.73,209.42,161.7,55604.65,107.1,183665.96,97.48,461.14,278.76,147.1,189.25,20.26,383.23,19.62,31.62
16/06/2025,110.74,209.42,161.71,55604.65,107.1,183667.23,97.49,461.13,278.78,147.1,189.25,20.26,383.23,19.46,31.16
17/06/2025,110.74,209.54,161.71,55605.06,107.09,183671.72,97.49,461.13,278.79,147.1,189.24,20.26,383.24,19.31,30.71
18/06/2025,110.74,209.51,161.71,55605,107.1,183672.86,97.5,461.13,278.81,147.12,189.25,20.26,383.24,19.16,30.25
19/06/2025,110.74,209.51,161.71,55604.86,107.1,183686.56,97.49,461.13,278.7,147.12,189.26,20.26,383.25,19,29.79
20/06/2025,110.75,209.43,161.71,55604.72,107.1,183673.53,97.48,461.13,278.7,147.05,189.26,20.26,383.25,18.85,29.33
23/06/2025,110.75,209.43,161.71,55604.72,107.1,183674.86,97.49,461.12,278.72,147.04,189.26,20.26,383.25,18.69,28.87
24/06/2025,110.76,209.55,161.71,55604.49,107.09,183682.38,97.5,461.13,278.74,147.02,189.25,20.26,383.26,18.54,28.42
25/06/2025,110.76,209.53,161.71,55604.47,107.1,183681.3,97.51,461.13,278.75,147.04,189.27,20.26,383.25,18.39,27.96
26/06/2025,110.77,209.53,161.72,55610.81,107.1,183694.61,97.5,461.13,278.7,147.04,189.27,20.26,383.26,18.24,27.5
27/06/2025,110.79,209.44,161.72,55611.03,107.1,183681.26,97.49,461.13,278.71,147.04,189.27,20.26,383.27,18.1,27.04
30/06/2025,110.78,209.44,161.72,55611.09,107.1,183681.48,97.5,461.12,278.72,147.03,189.26,20.26,383.27,17.95,26.58
01/07/2025,110.74,209.56,161.72,55612.01,107.09,183666.62,97.5,461.14,278.73,147.02,189.27,20.26,383.27,17.81,26.12
02/07/2025,110.75,209.53,161.65,55602.36,107.09,183654.99,97.51,461.42,278.8,147.02,189.25,20.26,383.25,17.67,25.66
03/07/2025,110.75,209.53,161.65,55600.18,107.09,183666.41,97.5,461.45,278.75,147.09,189.27,20.26,383.26,17.52,25.2
04/07/2025,110.75,209.44,161.65,55600.79,107.09,183651.43,97.5,461.46,278.76,147.1,189.27,20.26,383.26,17.38,24.73
07/07/2025,110.76,209.43,161.69,55601.14,107.09,183665.71,97.5,461.17,278.79,147.09,189.27,20.26,383.26,17.23,24.27
08/07/2025,110.75,209.55,161.71,55604.18,107.09,183666.97,97.51,461.17,278.8,147.08,189.26,20.26,383.26,17.09,23.81
09/07/2025,110.75,209.53,161.72,55604.34,107.09,183666.97,97.52,461.16,278.84,147.02,189.26,20.26,383.25,16.95,23.34
10/07/2025,110.75,209.53,161.72,55604.21,107.09,183681.58,97.51,461.15,278.78,147.03,189.27,20.26,383.25,16.8,22.88
11/07/2025,110.75,209.44,161.72,55604.37,107.09,183670.31,97.51,461.15,278.79,147.03,189.27,20.26,383.25,16.66,22.42
14/07/2025,110.76,209.43,161.72,55604.41,107.09,183672.15,97.5,461.14,278.82,147.01,189.27,20.26,383.25,16.52,21.95
15/07/2025,110.74,209.55,161.72,55604.85,107.09,183677.03,97.51,461.14,278.84,147.01,189.26,20.26,383.26,16.38,21.49
16/07/2025,110.75,209.52,161.72,55604.9,107.09,183677.43,97.52,461.14,278.83,147.02,189.26,20.26,383.25,16.24,21.03
17/07/2025,110.75,209.52,161.72,55604.79,107.1,183690.48,97.5,461.13,278.78,147.02,189.27,20.26,383.25,16.1,20.56
