Tanggal Prediksi,NVDA,AAPL,GOOGL,005930.KS,9988.HK,000660.KQ,AMD,0700.HK,TSLA,BABA,AMZN,INTC,MSFT
2025-04-23,100.09,198.47,154.23,55569.54,106.49,179135.16,94.1,456.57,246.82,109.85,178.0,20.05,374.32
2025-04-24,100.0,198.34,154.39,55576.14,106.36,179351.51,94.44,456.65,247.31,109.83,178.25,20.09,374.63
2025-04-25,99.88,198.46,154.51,55586.87,106.35,179505.48,94.72,455.77,247.54,109.78,178.5,20.13,374.91
2025-04-28,99.65,198.51,154.6,55594.94,106.18,179656.23,94.96,456.74,248.0,109.75,178.74,20.16,374.89
2025-04-29,99.62,198.52,154.71,55602.95,106.1,179751.02,95.17,456.74,248.2,109.66,178.92,20.2,375.23
2025-04-30,99.53,198.54,154.79,55610.09,106.04,179838.72,95.35,456.76,248.38,109.63,179.07,20.22,375.36
2025-05-01,99.45,198.56,154.86,55615.89,105.98,179921.98,95.5,456.83,248.56,109.6,179.21,20.24,375.48
