Tanggal Prediksi,SONY,1810.HK
2025-04-24,24.82,45.63
2025-04-25,25.32,46.86
2025-04-28,25.81,48.1
2025-04-29,26.31,49.36
2025-04-30,26.8,50.61
2025-05-01,27.29,51.86
2025-05-02,27.77,53.11
2025-05-05,28.26,54.36
2025-05-06,28.75,55.62
2025-05-07,29.24,56.87
2025-05-08,29.73,58.08
2025-05-09,30.22,59.29
2025-05-12,30.71,60.5
2025-05-13,31.19,61.71
2025-05-14,31.68,62.91
2025-05-15,32.17,64.12
2025-05-16,32.66,65.33
2025-05-19,33.15,66.54
2025-05-20,33.64,67.75
2025-05-21,34.13,68.96
2025-05-22,34.61,70.17
2025-05-23,35.1,71.38
2025-05-26,35.59,72.59
2025-05-27,36.08,73.8
2025-05-28,36.57,75.01
2025-05-29,37.06,76.14
2025-05-30,37.54,77.26
2025-06-02,38.03,78.39
2025-06-03,38.52,79.52
2025-06-04,39.01,80.65
2025-06-05,39.5,81.77
2025-06-06,39.99,82.9
2025-06-09,40.48,84.03
2025-06-10,40.96,85.16
2025-06-11,41.45,86.28
2025-06-12,41.94,87.41
2025-06-13,42.43,88.54
2025-06-16,42.92,89.67
2025-06-17,43.41,90.79
2025-06-18,43.89,91.92
2025-06-19,44.38,93.05
2025-06-20,44.87,94.18
2025-06-23,45.36,95.3
2025-06-24,45.85,96.43
2025-06-25,46.34,97.56
2025-06-26,46.83,98.69
2025-06-27,47.31,99.81
2025-06-30,47.8,100.94
2025-07-01,48.29,102.07
2025-07-02,48.78,103.2
2025-07-03,49.27,104.32
2025-07-04,49.76,105.45
2025-07-07,50.25,106.58
2025-07-08,50.73,107.71
2025-07-09,51.22,108.83
2025-07-10,51.71,109.96
2025-07-11,52.2,111.09
2025-07-14,52.69,112.21
2025-07-15,53.18,113.34
2025-07-16,53.66,114.47
2025-07-17,54.15,115.6
2025-07-18,54.64,116.72
2025-07-21,55.13,117.85
2025-07-22,55.62,118.98
2025-07-23,56.11,120.11
2025-07-24,56.6,121.23
2025-07-25,57.08,122.36
2025-07-28,57.57,123.49
2025-07-29,58.06,124.62
2025-07-30,58.55,125.74
2025-07-31,59.04,126.87
2025-08-01,59.53,128.0
2025-08-04,60.02,129.13
2025-08-05,60.5,130.25
2025-08-06,60.99,131.38
2025-08-07,61.48,132.51
2025-08-08,61.97,133.64
2025-08-11,62.46,134.76
2025-08-12,62.95,135.89
2025-08-13,63.43,137.02
2025-08-14,63.92,138.15
2025-08-15,64.41,139.27
2025-08-18,64.9,140.4
2025-08-19,65.39,141.53
2025-08-20,65.88,142.66
2025-08-21,66.37,143.78
2025-08-22,66.85,144.91
2025-08-25,67.34,146.04
2025-08-26,67.83,147.17
2025-08-27,68.32,148.29
