Date,000660.KQ,ORCL,AMD,INTC,005930.KS,MSFT,NVDA,AAPL,GOOGL,TSLA,AMZN,GOTO.JK,9988.HK,0700.HK,1810.HK,SONY
2025-01-02,175926.4375,173.17197448730468,127.65492736816407,21.48478946685791,54798.34375,421.65970031738277,137.77642456054687,233.2944305419922,184.34303680419922,357.284658203125,208.16787109375,72.02909942626954,83.01778625488281,411.8398162841797,34.22751407325268,21.072108748555184
2025-01-03,176922.683125,172.66209453125,127.83387687988281,21.13945937728882,54862.76078125,423.23216405029297,137.1960030151367,233.12808026123048,184.55359380493164,351.4711323486328,203.91712121582032,70.85653978881837,82.30106934204102,413.4441560668945,34.22751407325268,20.98948256933689
2025-01-06,178878.480925,173.22615819384765,128.2666202006836,21.32317389503479,54898.400053125,423.9076029777832,136.96006833032226,232.4770875012207,183.64707974694824,353.55954943017576,202.30585498291015,70.5369576229248,82.46142543249512,413.10360629760737,34.063553646206856,20.938105758066175
2025-01-07,178456.442033,173.75998188655274,128.4291984629199,21.36111890367279,54925.8365456875,423.49166649058105,136.9191182367334,231.51614425007324,181.88706689048095,349.8574008644433,201.3374542306152,70.9466147935083,82.62469940710204,412.9256565917236,33.88332195580006,20.91037768289957
2025-01-08,179024.31827338,173.96264173444706,128.66036708680252,21.34973458229288,54912.01083554125,424.1780956330716,136.9574912441376,231.90084450428174,182.49405062151675,347.52819787330407,201.10610663442284,71.17959622974135,82.79402203820347,413.86070578216356,33.6798801869154,20.834883017897116
2025-01-09,179266.0715276068,174.0201567426987,128.71181950324393,21.351632679797753,54862.158224815474,423.7845745979572,136.92050606859112,231.57427400317448,181.71852397639896,344.61923308119776,201.10253344388488,71.41352197144475,82.71741202292334,413.1736432519575,33.473452776670456,20.754254842288187
2025-01-10,179628.08870124185,174.18218831434586,128.29505936507493,21.442795225536713,54853.702948341306,423.4393777089307,136.91838479174228,230.93210745425347,181.41245210407808,343.6590608355723,200.35551213576443,71.34577263323546,82.8141906788254,413.13347748379283,33.27151417732239,20.681366954805725
2025-01-13,179900.079720568,174.33277814174372,128.24003004566367,21.47426031486001,54891.54625432352,423.5708042828054,136.80305341357413,230.36647447120487,181.60762262786653,340.92221651292806,199.53656319066368,71.40378627854733,82.84573651552813,412.3812957630149,33.06889933347702,20.557883369884177
2025-01-14,180192.4357471885,174.42520043236834,128.61598058780592,21.511850191275215,54935.95009121823,423.2725091148533,136.79071230041987,230.29662556476742,180.94408347510193,339.9570466308056,198.90397730295513,71.3952788130761,82.84683978152802,411.86973442455223,32.84985940158367,20.451448826943615
2025-01-15,180484.6009925821,174.5560446862899,129.1710027659623,21.462321329596783,54941.457703447675,423.4360009051801,136.45446875511888,230.0852554564031,180.88583909571656,338.18810587886003,199.44891217976016,71.45228658100325,83.00367314228988,411.3340641344118,32.625974252820015,20.345340142185336
2025-01-16,179985.1193536206,174.58441394534603,129.3435641487471,21.52413324683458,54981.884874965,423.2213548214236,136.3296685078202,229.82394225110042,180.83906924194514,337.61652691519464,199.1822534394375,71.6593294662546,82.879216794215,411.19371849543785,32.40536616742611,20.238423993548665
2025-01-17,180455.0401441137,174.54200852961867,129.4166648139186,21.620317275383208,54994.4647424699,422.3971473729868,136.31329030735037,229.36506677637607,180.3086005856705,336.14340162362987,198.55833158584593,71.49184725455316,82.87961002456787,411.60929443927967,32.18476641178131,20.1330078364675
2025-01-20,180280.1767114378,174.6208322304916,129.44028120286063,21.64215163643161,54995.27561602411,422.33129771733115,136.1777389904932,229.1560509335428,180.62492714332507,335.79892293050136,198.11241736109312,71.51409978393527,82.9121671357768,412.2305935595774,31.96084661781788,20.028740496626448
2025-01-21,180553.9597843365,174.66119141402353,129.34606493016327,21.65683658897181,55016.178436030736,422.19887355643607,136.17369842733197,229.24597199132336,180.53929586376736,334.58946324659837,197.77821701647758,71.52617595456518,82.85493370747118,412.4736388303772,31.76150570809841,19.92516425658068
2025-01-22,180307.9382270294,174.7049945501423,129.44016253183494,21.538061343651986,55058.50486123643,422.20853003783185,136.2031352251422,229.04956752874904,179.83496143502742,329.98359305516055,198.3524441244051,71.46355120740066,82.98017508681389,412.5156045406087,31.59479035437107,19.829828787085315
2025-01-23,179816.57062524528,174.82930770325908,129.2012149482765,21.54192621409784,55022.74699316333,422.1183116626135,136.01668939664964,228.7579332505054,180.29247235170172,329.7133833135709,198.20957899776963,71.66077348416535,82.85602689912284,412.4737897779704,31.426118567585945,19.737944434108734
2025-01-24,180053.95386271094,174.8079134871075,129.13336040727557,21.538256899653927,55027.89210162047,421.9649181958632,136.0162321535796,228.52901497824715,180.27590976738537,328.60690320435845,197.70495229355063,71.60734921127478,82.78890942108742,411.85732371100767,31.35943192988634,19.64277545756759
2025-01-27,180261.9471969314,174.86633636063118,129.27496430328435,21.638794106920148,55047.64111364361,421.8935344824268,135.87218963254722,228.36683459515973,179.6950918481936,328.04714244422485,197.35282452421137,71.6194152008467,82.81153583260394,411.2618247586541,31.26073831319809,19.546455481330913
2025-01-28,180410.035526861,174.85246870373658,129.61726825101985,21.608364053472325,55064.5651077335,421.85872529941827,135.88246376026015,228.49491012488426,179.99746069110665,328.1502544160959,197.1838172744155,71.53149101804067,82.78636716613704,410.72685020064563,31.158433839678764,19.448825822877644
2025-01-29,180718.76336560046,174.88877097339704,129.7758860962677,21.566854356127802,55067.80568015081,422.0430899391403,136.24396522054246,228.30293105700983,179.71435519581655,326.77842045799866,197.64856625443485,71.50589147961652,82.847363714538,411.02246055732087,31.05754814296961,19.358952497408566
2025-01-30,179914.4349319164,174.90488472413318,129.70948372247773,21.791214228691786,55065.77382242969,422.18014694727003,136.06039999445167,228.22127327250502,179.26392493617567,326.7728375899726,197.64241236455615,71.76572173228466,82.68855060456129,411.57265104023344,30.95240355283022,19.267961955585974
